TOTAL_BLOBS,Result
6,7.4664354454
12,9.18945900972
18,10.912482574
24,12.6355061384
30,14.3585297027
36,16.081553267
42,17.8045768313
48,19.5276003957
54,21.25062396
60,22.9736475243
