TOTAL_BLOBS,Result
6,454.42040888
12,890.366287357
18,1326.31214767
24,1762.25814341
30,2198.20403714
36,2634.14993087
42,3070.0958246
48,3506.04171832
54,3941.98761205
60,4377.93350578
