TOTAL_BLOBS,Result
6,6835.36263546
12,11059.5559855
18,15513.9741579
24,20410.2407279
30,25785.0981293
36,31639.5214476
42,37970.5320223
48,44777.5518695
54,52061.1733364
60,59822.0886283
