p_malicious_init,Result
0.1,25.7616660099
0.2,28.0808688322
0.3,30.9790143462
0.4,34.344461162
0.5,37.9079119005
0.6,41.1561033052
0.7,43.517740534
0.8,44.8934831143
0.9,45.9015708205
