p_malicious_init,Result
0.1,61.4774889168
0.2,68.2890553344
0.3,76.6688447211
0.4,86.9579880159
0.5,99.2868976426
0.6,112.9381229
0.7,126.015216943
0.8,136.521447651
0.9,144.359238753
